Day,0:0,0:30,1:0,1:30,2:0,2:30,3:0,3:30,4:0,4:30,5:0,5:30,6:0,6:30,7:0,7:30,8:0,8:30,9:0,9:30,10:0,10:30,11:0,11:30,12:0,12:30,13:0,13:30,14:0,14:30,15:0,15:30,16:0,16:30,17:0,17:30,18:0,18:30,19:0,19:30,20:0,20:30,21:0,21:30,22:0,22:30,23:0,23:30
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,1,2,3,10,11,10,16,2,1,23,0,0,0,7,7,8,7,15,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,2,4,12,12,11,24,5,11,12,10,25,11,4,23,15,8,16,1,8,13,7,22,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,6,19,19,12,13,14,18,17,12,18,12,18,17,3,15,9,15,22,13,0,8,6,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,4,5,15,15,10,3,2,9,8,10,10,8,7,14,1,1,6,14,7,7,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,5,13,18,17,3,10,12,14,13,21,17,26,4,18,17,17,7,22,0,6,21,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,3,4,10,16,8,2,5,5,11,25,9,8,1,0,7,8,7,14,0,14,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,10,4,10,12,11,16,3,16,11,4,19,3,25,9,10,7,15,0,7,21,0,8,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,4,5,10,25,5,19,14,12,30,10,12,18,11,11,17,8,14,6,21,7,22,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,4,5,5,31,8,11,5,3,18,8,17,2,10,9,10,0,21,0,6,16,0,7,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,4,12,12,17,11,20,5,11,21,11,18,17,11,9,26,3,16,15,14,0,8,28,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,4,4,15,15,10,4,3,17,9,17,2,1,8,7,9,6,7,0,0,7,0,0,0,0,0,0,0,0,0
